category,question,option_a,option_b,option_c,correct,explanation
健康題,依據食品安全衛生管理法規定，哪一項食品標示不屬於強制標示範圍內?,品名,原產地(國),業者Line ID,C,食品強制標示項目包括：品名、內容物、食品添加物、有效日期、原產地、營養標示、廠商資訊等。業者Line ID屬私人聯絡方式，非法規強制標示項目。
健康題,下列哪一項食品最可能不含防腐劑？,醬油,罐頭,豆干,B,罐頭透過高溫高壓滅菌及真空密封保存，不需添加防腐劑。醬油、豆干等食品常添加防腐劑（如己二烯酸、苯甲酸）延長保存期限。
健康題,接觸過生雞蛋後要洗手，是為了避免下列何種細菌引起的食物中毒？,肉毒桿菌,仙人掌桿菌,沙門氏菌,C,生雞蛋殼表面常附著沙門氏菌，接觸後未洗手可能造成食物中毒，症狀為腹瀉、發燒、腹痛。肉毒桿菌存於罐頭，仙人掌桿菌存於米飯。
健康題,下列哪一個罐頭符合食品安全原則？,外觀凹陷,真空安全鈕浮起,外觀平滑,C,安全罐頭應外觀平滑完整，真空安全鈕下凹。外觀凹陷或安全鈕浮起表示密封不良、真空失效，可能滋生細菌（如肉毒桿菌），不可食用。
健康題,依據食品衛生管理法施行細則，下列哪一項食品添加物不必同時標示其功能性名稱?,著色劑,甜味劑,防腐劑,A,依法規，防腐劑、甜味劑、抗氧化劑需標示功能性名稱（如「防腐劑：己二烯酸」），以提醒消費者。著色劑僅需標示添加物名稱，無需標示「著色劑」字樣。
健康題,我們常喝的優酪乳是利用下面哪一種加工方式製成的？,高溫法,低溫法,發酵法,C,優酪乳由牛奶加入乳酸菌或比菲德氏菌，經發酵產生乳酸製成。發酵過程可分解乳糖，幫助乳糖不耐症者消化，並產生益生菌調節腸道。
健康題,26公克的糖換算為幾大卡?,26大卡,104大卡,130大卡,B,糖屬醣類，每公克提供4大卡熱量。26公克糖 × 4大卡/公克 = 104大卡。蛋白質每公克也是4大卡，脂肪每公克9大卡。
健康題,一般食品的營養標示中，不需要標示下列哪一個項目?,鈉,蛋白質,維生素,C,食品營養標示強制項目包括：熱量、蛋白質、脂肪、飽和脂肪、反式脂肪、碳水化合物、糖、鈉。維生素、礦物質非強制標示，業者可自願標示。
健康題,當誤食藥品或服藥過量，務必要保持冷靜並且要如何處理？,立即催吐,帶著藥品迅速就醫,趕快吃瀉藥,B,誤食藥品應帶著藥品包裝或藥袋立即就醫，讓醫師判斷處理方式。不可自行催吐（腐蝕性物質催吐會二度傷害食道）或吃瀉藥，以免加重傷害。
健康題,從診所看病完帶回來的藥物，如果忘記怎麼服用，該如何處理？,詢問家中長輩,查詢網路資料,詢問原診所的醫師或藥師,C,忘記服藥方式應詢問開立處方的醫師或調劑藥師，因為他們了解患者病情及用藥資訊。家中長輩或網路資訊可能不正確，影響療效或造成危險。
健康題,下列何項不屬於病歷？,護理紀錄,X光檢查報告,門診預約單,C,病歷包括：醫師診斷紀錄、護理紀錄、檢驗檢查報告（X光、抽血等）、手術紀錄、用藥紀錄等。門診預約單僅為行政排程文件，非病歷內容。
健康題,下列何者屬於侵入性醫療行為？,針灸,熱敷,推拿,A,侵入性醫療指穿刺皮膚或進入體腔的行為，如針灸、注射、手術、內視鏡等。熱敷、推拿屬非侵入性物理治療。侵入性醫療需由合格醫事人員執行。
健康題,下列哪項資料不需要由醫師開立？,診斷證明書,繳費證明書,出生證明書,B,診斷證明書、出生證明書、死亡證明書需由醫師開立。繳費證明書由醫療院所行政單位或健保局開立，證明醫療費用支付，無需醫師簽署。
健康題,有關藥品放置，下列哪一項作法不適合?,與食物一起保存,以避光避濕熱為原則,定期檢查是否過期,A,藥品應避光、避濕、避熱單獨保存，定期檢查效期。與食物一起保存可能誤食，或因冰箱濕氣導致藥品變質。大多數藥品室溫保存即可。
健康題,老周想知道國內不法藥物之形式，包含下列何項？,有核准字號,未經核准之藥品,依法標示,B,不法藥物包括：未經核准製造或輸入、標示不實、逾期、變質之藥品。合法藥品應有衛福部核准字號（如「衛部藥製字第○○號」）及完整標示。
健康題,請問戒菸的原理是降低身體對哪一種物質的需求量，並同時有效地改善戒斷症狀？,菸焦油,尼古丁,一氧化碳,B,尼古丁是造成菸癮的主要成分，戒菸藥物（如尼古丁貼片、口嚼錠）透過提供少量尼古丁，減緩戒斷症狀（焦慮、易怒、失眠），再逐漸減量達成戒菸。
健康題,吸菸後尼古丁進入血液循環7至10秒後，開始對身體哪一部位產生影響?,腦部,肺部,神經,A,尼古丁經肺吸收後快速進入血液，7-10秒即達腦部，刺激多巴胺分泌產生愉悅感，造成成癮。這也是為何吸菸容易上癮且難以戒除的原因。
健康題,小玖和阿茂在戒菸期間，要如何獲得更多菸害的相關資訊呢?,董氏基金會華文戒菸網站,戒菸門診詢問,以上皆是,C,戒菸資源包括：董氏基金會華文戒菸網站、戒菸門診、戒菸專線0800-636-363、衛福部國健署網站等，提供諮詢、藥物治療、行為輔導等協助。
健康題,菸害防制法新法(112.03.22施行)有關禁菸年齡的規定是幾歲？,下降為16歲,維持18歲,提高至20歲,C,2023年3月22日施行的菸害防制法新法，禁菸年齡由18歲提高至20歲，禁止供應菸品予未滿20歲者，違者罰1萬至25萬元。
健康題,暴露在菸品煙霧中會對下面哪些器官造成刺激？,呼吸系統,眼睛,呼吸器官和眼睛,C,"二手菸含7,000多種化學物質，會刺激呼吸系統（咳嗽、氣喘）及眼睛（流淚、紅癢）。長期暴露增加肺癌、心血管疾病、氣喘等風險。"
健康題,下列何者不是尼古丁的作用？,心跳加速,血壓上升,呼吸變慢,C,尼古丁刺激交感神經，造成心跳加速、血壓上升、血管收縮、呼吸加快。長期吸菸增加心血管疾病風險。呼吸變慢非尼古丁作用。
健康題,販賣菸品給未滿20歲的學生，店家會被罰多少錢？,2千~1萬元,5千到1萬元,1萬到25萬,C,依菸害防制法第13條，販賣菸品給未滿20歲者，處新台幣1萬元以上25萬元以下罰鍰。再次違規加重處罰至50萬元。
健康題,什麼時候要刷牙？,晚上睡覺前,吃完點心後,以上都要,C,每次進食後口腔細菌會分解食物殘渣產生酸性物質侵蝕牙齒，建議三餐飯後及睡前刷牙，每次至少2分鐘，並搭配牙線清潔牙縫。
健康題,用眼多久至少要休息10分鐘?,30分鐘,50分鐘,60分鐘,A,遵守「用眼30分鐘，休息10分鐘」原則，讓睫狀肌放鬆，預防近視惡化。休息時可遠眺6公尺以上或閉眼休息，避免持續近距離用眼。
健康題,散光的主要原因是什麼不規則?,腦袋,睫狀肌,眼角膜弧度不規則,C,散光因眼角膜或水晶體表面弧度不規則，導致光線無法聚焦於同一點，影像模糊或重疊。多數散光為先天性，可配戴眼鏡或隱形眼鏡矯正。
健康題,小花看到鏡中自己的咖啡色眼珠，請問眼睛哪個構造能決定眼珠顏 色？,水晶體,瞳孔,虹膜,C,虹膜含色素細胞，決定眼睛顏色（黑、棕、藍、綠等）。虹膜中央為瞳孔（黑色圓孔），控制進入眼球的光線量。水晶體為透明組織負責聚焦。
健康題,母乳中熱量的主要來源？,蛋白質,脂肪,乳糖,B,母乳中脂肪約佔3-5%，提供50%以上熱量，且含DHA、AA等必需脂肪酸，幫助嬰兒腦部及視力發育。蛋白質及乳糖也提供熱量但比例較低。
健康題,高度近視的學生，相較於一般學生容易有什麼眼部疾病？,黃斑部病變,散光,近視,A,高度近視（度數>600度）眼軸拉長，視網膜變薄，增加黃斑部病變、視網膜剝離、青光眼、白內障等併發症風險，嚴重可致失明。應定期眼科檢查。
健康題,以下何者不是流感的特性？,爆發流行快速,會遺傳給子孫,可能出現嚴重併發症,B,流感為病毒感染，透過飛沫傳播，爆發流行快速，可能併發肺炎、腦炎、心肌炎等嚴重併發症。流感不會遺傳，但易感染未接種疫苗者。
健康題,下列何者不是感染流感病毒後可能會出現的症狀？,咳嗽,紅疹,發燒,B,流感症狀包括：突發高燒（38°C以上）、咳嗽、喉嚨痛、肌肉痠痛、頭痛、疲倦。紅疹非流感症狀，可能是其他病毒感染（如麻疹、德國麻疹）。
健康題,下列哪一個職業是感染新型A型流感的主要高風險族群?,便利商店人員,禽畜業工作者,遊樂園工作人員,B,新型A型流感（如H5N1、H7N9）多由禽類傳染給人類，禽畜業工作者因頻繁接觸家禽家畜，是主要高風險族群。建議穿戴防護裝備、勤洗手、接種疫苗。
健康題,流感疫苗建議每隔多久接種一次?,半年,1年,2年,B,流感病毒變異快速，每年流行株不同，流感疫苗需每年接種一次以獲得最佳保護力。建議於每年10月流感季前完成接種，保護效期約1年。
健康題,接種COVID-19疫苗與其他非 COVID-19疫苗要間隔多久?,不須間隔,28天,84天,A,依據最新指引，COVID-19疫苗與其他疫苗（如流感疫苗、肺炎鏈球菌疫苗）可同時接種或不須間隔，但建議分開不同手臂接種以利副作用監測。
健康題,以下何者是小兒麻痺症的致病原？,細菌,病毒,黴菌,B,小兒麻痺症由小兒麻痺病毒（Poliovirus）引起，屬腸病毒科，經口傳染。可能造成永久性肢體麻痺。台灣透過疫苗接種已根除小兒麻痺症。
健康題,肺結核最常見的診斷方法為何?,檢驗尿液,檢驗血液,檢驗胸部X光,C,肺結核最常用診斷方法為胸部X光檢查，可發現肺部病灶。確診需搭配痰液檢查（痰塗片、痰培養）找出結核桿菌。尿液、血液檢查較少用於肺結核診斷。
健康題,結核桿菌喜好棲息於人體哪個器官?,指甲,肺部,關節,B,結核桿菌為需氧菌，喜好棲息於含氧量高的肺部（尤其肺尖），造成肺結核。約90%結核病為肺結核。少數可侵犯其他器官（淋巴結、骨骼、腦膜）。
健康題,世界愛滋病日為每年的幾月幾日?,12月1日,12月2日,12月11日,A,世界衛生組織訂定每年12月1日為世界愛滋病日（World AIDS Day），目的為提高愛滋病防治意識、關懷感染者、消除歧視。紅絲帶為愛滋病防治象徵標誌。
健康題,生活環境勤消毒可預防傳染病，可使用下列何者來消毒環境?,過濾水,漂白水,蒸餾水,B,漂白水（次氯酸鈉溶液）為有效環境消毒劑，可殺滅細菌、病毒（如腸病毒、流感病毒、COVID-19）。使用時需稀釋（一般環境100倍稀釋），保持通風。過濾水、蒸餾水無消毒效果。
健康題,下列何種飲食料理方式較能遠離大腸癌?,清蒸,油炸,煙燻,A,清蒸烹調溫度低、不產生致癌物質，為健康烹調方式。油炸、煙燻、燒烤等高溫烹調會產生多環芳香烴、雜環胺等致癌物，增加大腸癌風險。建議多吃蔬果、少吃紅肉。
健康題,高血脂是指血液中哪一種物質增加？,血糖,三酸甘油脂,血栓,B,高血脂指血液中脂質（三酸甘油脂、膽固醇）濃度過高。三酸甘油脂是高血脂主要指標，過高會增加心血管疾病、胰臟炎風險。血糖升高為糖尿病，血栓為凝血塊。
健康題,監測飯後兩小時的血糖，飯後的時間切點是由何時算起?,開始進食,進食1小時後,進食2小時後,A,飯後2小時血糖測量時間點，從「開始進食第一口」算起2小時後測量，非從用餐結束算起。正常飯後2小時血糖應<140 mg/dL，糖尿病患者應<180 mg/dL。
健康題,糖尿病的發生是因為下列哪一個器官無法正常製造胰島素？,肝臟,胰臟,腎臟,B,胰臟內的胰島β細胞負責分泌胰島素，調節血糖。第1型糖尿病為β細胞被破壞無法產生胰島素，第2型糖尿病為胰島素阻抗或分泌不足。肝臟負責糖代謝，腎臟負責排泄。
健康題,請問常吃檳榔、吸菸、酗酒的族群.可能容易產生下列何者癌症？,口腔癌,肝癌,胰臟癌,A,檳榔、菸、酒為口腔癌三大危險因子，三者併用會大幅增加口腔癌風險（超過百倍）。檳榔含致癌物質，菸酒加乘致癌效果。建議定期口腔黏膜檢查，早期發現早期治療。
健康題,下列何者疾病與腦中風無關?,高血壓,心臟病,青光眼,C,腦中風危險因子包括：高血壓、心臟病（心律不整、瓣膜疾病）、糖尿病、高血脂、抽菸等。青光眼為眼壓過高造成視神經損傷的眼科疾病，與腦中風無關。
健康題,何者是低血糖的症狀?,心痛、手麻,出汗、饑餓,虛弱、睡不著,B,低血糖（血糖<70 mg/dL）症狀包括：出汗、發抖、心悸、饑餓感、頭暈、無力。嚴重可能意識不清、昏迷。應立即補充含糖食物（果汁、糖果）。心痛手麻為心臟問題症狀。
健康題,糖尿病患者需定期做眼底病變的檢查，主要是檢查眼睛的哪一部分?,眼瞼,視網膜,瞳孔,B,糖尿病眼底檢查主要檢查視網膜，因長期高血糖會損傷視網膜微血管，造成糖尿病視網膜病變（出血、滲出、新生血管），嚴重可致失明。建議每年定期檢查。
健康題,當出現口齒不清、單側手腳無力、暈眩等症狀時，最可能是罹患哪一種疾病?,腦中風,心臟病,失智症,A,口齒不清、單側肢體無力、臉歪嘴斜、暈眩、劇烈頭痛為腦中風典型症狀。記住「FAST口訣」：臉歪、手軟、說話不清楚、搶時間送醫。把握黃金3小時治療時間。
健康題,糖尿病飲食建議攝取低GI飲食，下列何者是低GI食物？,葡萄柚果汁,稀飯,五穀飯,C,低GI（升糖指數）食物消化吸收慢，血糖上升緩和。五穀飯富含纖維，GI值約55，為低GI食物。稀飯、白飯、麵包屬高GI食物，會快速升高血糖，糖尿病患者應避免。
健康題,到特約醫療機構就醫時，應攜帶何種證件？,信用卡,身分證,健保IC卡,C,至健保特約醫療院所就醫，應攜帶健保IC卡。健保IC卡記錄就醫紀錄、用藥資訊、過敏史等，幫助醫師診療。首次就醫或補發卡需出示身分證件。
健康題,於診所就醫時，我們要付的費用不包括下列何者？,掛號費,門診部分負擔,指定醫師費用,C,診所就醫需支付掛號費及門診部分負擔（依層級50-420元不等）。「指定醫師費」僅在醫院層級可收取，診所不得收取。若有違規可向健保署檢舉。
健康題,小珍些微打噴嚏、咳嗽、流鼻水，下列何者是最好的處理方式?,在家休息，並到診所就醫,拿爸爸的感冒藥來吃,掛急診,A,輕微感冒症狀應在家休息、多喝水，至基層診所就醫即可。不可服用他人藥物（藥物因人而異，可能副作用或交互作用）。急診用於緊急危急病況，非輕症使用。
健康題,已辦理出國停保者，於返國復保後應屆滿多久，始得再次辦理停保？,1個月,3個月,6個月,B,依全民健保法規定，出國停保返國復保後，需滿3個月才能再次辦理停保，避免民眾利用停保規避保費。出國6個月以上可辦理停保，但仍需負擔最多2年保費。
健康題,站在父母的立場，嘗試瞭解他們的感受，這樣叫做什麼呢？,同情,同理,憐憫,B,同理心（Empathy）是站在對方立場思考、理解對方感受的能力。同情（Sympathy）是對他人遭遇感到難過，憐憫帶有上對下的可憐意涵。同理心有助溝通、建立關係。
健康題,下列何者可能是注意力不足過動症 (ADHD)孩童的行為表現？,安靜地坐在位置上,對於任務或作業能細心完成,經常處於活躍的狀態,C,ADHD（注意力不足過動症）主要症狀為注意力不集中、過動、衝動。孩童表現為坐不住、經常活躍、難以專心完成作業、易分心。需由醫師診斷，可透過行為治療及藥物改善。
健康題,113保護專線可以協助處理的事件有哪些呢？,性騷擾,家庭暴力,以上皆是,C,113保護專線提供24小時免費諮詢服務，處理家庭暴力、性侵害、性騷擾、兒少保護等案件，提供緊急救援、庇護安置、法律諮詢等協助。任何人皆可撥打求助。
健康題,下列何者是與精神病人相處的正確態度?,裝作不認識,耐心傾聽,躲避,B,與精神疾病患者相處應以尊重、接納、耐心傾聽的態度，不歧視、不迴避。精神疾病可透過治療控制，多數患者無暴力傾向。社會支持有助患者康復及社會適應。
健康題,我們要向哪一個機構申請家庭暴力的保護令呢?,警察局,法院,家防中心,B,家庭暴力保護令需向地方法院聲請，分為通常保護令、暫時保護令、緊急保護令。警察局可協助聲請緊急保護令，家防中心提供諮詢及社會資源，但核發保護令為法院職權。
健康題,請問「世界自殺防治日」是每年的幾月幾號？,9月10日,3月29日,10月10日,A,國際自殺防治協會訂定每年9月10日為世界自殺防治日，呼籲重視心理健康、預防自殺。台灣自殺防治專線1925（依舊愛我）提供24小時免費諮詢。10月10日為世界精神衛生日。
健康題,下列何者為冰敷袋的使用目的？,促進血液循環,止痛,避免患者中暑,B,冰敷可收縮血管、減緩血流、降低發炎反應，達到止痛、消腫效果。適用於急性扭傷、挫傷、發炎。每次冰敷15-20分鐘，間隔1小時。熱敷才能促進血液循環，用於慢性疼痛。
健康題,流鼻血時，首先應採取什麼姿勢？,把頭向前傾,把頭往後仰,平視,A,流鼻血應坐直、頭微向前傾，用手指捏緊鼻翼5-10分鐘止血。頭往後仰會讓血液倒流吞入，刺激胃部引發嘔吐，甚至嗆入氣管。若持續出血超過30分鐘應就醫。
健康題,身體因缺氧而最先死亡的細胞是？,腦,肺,趾和手指,A,腦細胞對缺氧最敏感，血液循環停止後4-6分鐘即開始不可逆損傷。肺及趾手指對缺氧耐受性較高。這也是為何心跳停止時需立即CPR，把握黃金4分鐘。
健康題,協助清醒者排除呼吸道異物哽塞的處理方法叫做?,心肺復甦術,哈姆立克法,高級救命術,B,哈姆立克法（Heimlich Maneuver）是處理清醒者呼吸道異物哽塞的標準方法，透過腹部快速推擠產生氣流將異物排出。心肺復甦術用於心跳停止，高級救命術需專業人員執行。
健康題,撥打119求救，應告知下列何種資訊？,患者穿幾件衣服,患者的地點,患者飲食習慣,B,撥打119最重要的是告知「地點」，讓救護車能快速抵達。其次應說明患者狀況、聯絡電話。患者穿著及飲食習慣非緊急必要資訊。
健康題,人腦在血液循環停止幾分鐘後，會因為缺氧而造成損傷?,4分鐘,6分鐘,8分鐘,A,腦細胞在血液循環停止4分鐘後開始不可逆損傷，超過10分鐘幾乎無法恢復。因此心跳停止時應立即CPR，把握黃金4分鐘搶救時間。
健康題,適度曬太陽有助於人體合成何種物質?,維生素A,鉀,維生素D,C,陽光中的紫外線UVB照射皮膚，促進體內合成維生素D，有助鈣質吸收、骨骼健康。建議每週2-3次，每次10-15分鐘日曬。維生素A由食物攝取，鉀為礦物質不需日曬合成。
健康題,不吃早餐有什麼影響？,體重控制,提高專注力,上課上班易昏睡,C,不吃早餐導致血糖過低，大腦缺乏能量，容易昏睡、注意力不集中、學習效率下降。長期不吃早餐反而容易肥胖，因中午會過度進食。
健康題,下列哪一種營養素無法提供熱量?,醣類,蛋白質,礦物質,C,三大營養素（醣類、蛋白質、脂肪）可提供熱量，醣類及蛋白質每公克4大卡，脂肪每公克9大卡。礦物質、維生素、水雖為必需營養素，但不提供熱量。
健康題,請問下列哪一項食物有助於調節腸道功能？,綠茶,優酪乳,豬大腸,B,優酪乳含益生菌（如乳酸菌、比菲德氏菌），可調節腸道菌叢平衡，促進腸道蠕動，改善便秘。綠茶含抗氧化物但無益生菌，豬大腸為高膽固醇食物。
健康題,下列有哪一種疾病的人不適合喝檸檬水?,高血壓,胃食道逆流,高血脂,B,檸檬水屬酸性，會刺激胃酸分泌，加重胃食道逆流症狀（火燒心、胃酸上湧）。高血壓、高血脂患者可適量飲用檸檬水，但胃食道逆流、胃潰瘍患者應避免。
健康題,少吃高油、高糖和高鈉的食物，可以降低罹患哪一種疾病的風險？,腸病毒,破傷風,肥胖及代謝症候群,C,高油、高糖、高鈉飲食是肥胖及代謝症候群（高血壓、高血糖、高血脂、腹部肥胖）的主要危險因子。腸病毒為病毒感染，破傷風為細菌感染，皆與飲食無關。
健康題,六大類食物中的哪一類食物要吃最少？,油脂與堅果種子類,奶類,全榖根莖類,A,依國民飲食指南，六大類食物攝取量由多到少為：全榖根莖類>蔬菜類>豆魚蛋肉類>水果類>奶類>油脂與堅果種子類。油脂熱量高（每公克9大卡），應適量攝取。
健康題,暖身運動不足時，容易導致哪一個部位受傷害？,心臟,肺臟,肌肉,C,暖身運動可提高肌肉溫度、增加血流、提升柔軟度。若暖身不足，肌肉僵硬，運動時容易拉傷、扭傷、抽筋。建議運動前暖身5-10分鐘。
健康題,稻穀碾去穀殼後會變成哪一種米?,糙米,胚芽米,精製白米,A,稻穀去殼後為糙米（保留米糠層及胚芽，富含纖維、維生素B群）。糙米再去除米糠層部分為胚芽米，完全去除米糠層及胚芽為精製白米（口感佳但營養流失）。
健康題,下列何者物質常用於治療癌症疼痛？,嗎啡,LSD,MDMA,A,嗎啡為鴉片類止痛劑，醫療上用於治療癌症等嚴重疼痛，由醫師處方使用屬合法。LSD為迷幻藥、MDMA為搖頭丸，皆屬非法毒品無醫療用途。
健康題,未經醫師指示，長期使用成癮藥物會傷害身體哪一個系統？,中樞神經系統,副交感神經系統,交感神經系統,A,成癮藥物（如海洛因、安非他命、K他命）主要傷害中樞神經系統（腦部及脊髓），造成記憶力衰退、判斷力下降、情緒障礙，嚴重可致精神病或死亡。
健康題,以靜脈注射方式施用毒品，且有共用針具的情形，會提高何種疾病的感染機率？,愛滋病,A型肝炎,鼻過敏,A,共用針具注射毒品，血液接觸會傳染愛滋病（HIV）、B型肝炎、C型肝炎等血液傳染病。A型肝炎為糞口傳染，鼻過敏非傳染病。
健康題,戒毒成功專線的服務時間為何？,24小時,早上8點至晚上5點,早上9點至晚上6點,A,戒毒成功專線0800-770-885（請請您 幫幫我）提供24小時免費諮詢服務，協助藥癮者戒毒、轉介醫療及社會資源，任何時間皆可撥打求助。
健康題,海洛因、鴉片、嗎啡是由何種植物中提煉而出？,川七,罌粟,依托咪酯,B,海洛因、鴉片、嗎啡皆由罌粟（Papaver somniferum）果實提煉而出，屬鴉片類毒品。罌粟種植、製造、販賣皆違法，僅醫療用嗎啡由政府管制。
健康題,如果發現有人神情恍惚、身上有燃燒塑膠的味道，可能是使用下列何種毒品?,海洛因,古柯鹼,K他命,C,K他命（Ketamine）俗稱K粉，常以加熱吸食方式使用，會產生燃燒塑膠味。使用後出現神情恍惚、動作遲緩、解離症狀。海洛因多注射或吸食，古柯鹼為粉末吸入。
健康題,染上毒癮患者，若不持續施用毒品就會有心理與生理上的不適，這現象稱為什麼?,類感冒症狀,渴望症狀,戒斷症狀,C,戒斷症狀指停止使用成癮物質後，出現的生理及心理不適（如焦慮、盜汗、顫抖、失眠、幻覺），驅使患者繼續用藥。這是藥物成癮的核心特徵。
健康題,中藥早上還晚上吃比較好？,早上,晚上,遵醫囑服用,C,中藥服用時間依藥性、病情、體質而異，應遵醫囑服用。一般補藥飯前服、腸胃藥飯後服、安神藥睡前服。自行決定服藥時間可能影響療效或產生副作用。
健康題,遵守抗生素的三不原則，下列何者為非？,不主動要求,不隨便停藥,視情況不服用,C,抗生素三不政策為：不主動要求、不隨便停藥、不任意使用他人抗生素。「視情況不服用」違反「不隨便停藥」原則，可能導致抗藥性細菌產生，應完整療程服用。
健康題,律師阿武因工作壓力大，目前服用安眠藥，他應該注意的事項，何者為非？,服藥後立刻上床睡覺,避免服藥前喝酒或進食,服藥後可以開車外出,C,安眠藥會影響意識、反應力、協調性，服藥後絕對不可開車、操作機械或從事危險活動。應服藥後立刻上床，避免跌倒。服藥前避免飲酒（加重鎮靜作用）。
健康題,藥品取得方式不需處方箋，經醫 師、藥師、藥劑生指導於藥局購買者為何？,處方藥,成藥,指示藥,C,指示藥需經醫師、藥師、藥劑生指導後於藥局購買，無需處方箋。處方藥需醫師處方箋。成藥可自行於藥局購買無需專業人員指導。藥品分級：處方藥>指示藥>成藥。
健康題,可自行於合法藥局依適應症選購之藥品為何？,處方藥,成藥,指示藥,B,成藥安全性高、作用溫和，可自行於藥局依適應症選購，如綜合感冒藥、腸胃藥。處方藥需醫師處方，指示藥需專業人員指導。購買成藥仍應詳閱說明書。
健康題,藥品優良製造規範英文縮寫為何？,CAS,WTO,GMP,C,GMP（Good Manufacturing Practice）為藥品優良製造規範，確保藥品品質、安全、有效。CAS為優良農產品標章，WTO為世界貿易組織。購買藥品應認明GMP標章。
健康題,領藥的藥袋或是藥品名細上不應有的標示為?,調劑日期,醫生姓名,民眾手機號碼,C,藥袋應標示：患者姓名、藥品名稱、用法用量、調劑日期、醫師姓名、藥局資訊等。手機號碼屬個人隱私資訊，非藥袋必要標示項目，且可能洩漏個資。
環保題,根據《空氣污染防制法》，固定污染源排放空氣污染物，應符合何種標準？,排放標準,廢棄物標準,噪音標準,A,依空氣污染防制法第20條，固定污染源排放空氣污染物，應符合「排放標準」(Emission Standards)。排放標準由中央主管機關依據空氣品質標準、空氣污染物特性等訂定，規定了污染物排放的濃度或總量限值。事業廢棄物或一般廢棄物是廢棄物清理法的分類，與空氣污染排放標準不同。
環保題,何者為《溫室氣體減量及管理法》所定義的溫室氣體？,二氧化碳(CO2),臭氧(O3),懸浮微粒(PM2.5),A,依《溫室氣體減量及管理法》第3條，所定義的溫室氣體包括：二氧化碳(CO2)、甲烷(CH4)、氧化亞氮(N2O)、氫氟碳化物(HFCs)、全氟碳化物(PFCs)、六氟化硫(SF6)及其他經中央主管機關公告者。臭氧及懸浮微粒雖為空氣污染物，但非此法定義的溫室氣體。
環保題,生命週期評估(LCA)的四個主要階段，不包括下列何者？,衝擊評估,市場分析,目標與範圍界定,B,依據ISO 14040標準，生命週期評估(LCA)包含四個主要階段：(1)目標與範圍界定(Goal and Scope Definition)、(2)盤查分析(Inventory Analysis
環保題,碳足跡的計算範疇中，Scope 2指的是？,運輸、廢棄物處理等其他間接排放,外購電力熱或蒸氣之間接排放,組織直接擁有或控制之排放源產生之排放,B,依ISO 14064-1:2018及溫室氣體盤查議定書(GHG Protocol)，溫室氣體排放分為三個範疇：Scope 1（範疇一）為組織擁有或控制之排放源所產生之直接溫室氣體排放；Scope 2（範疇二）為外購電力、熱或蒸氣所產生之能源間接排放；Scope 3（範疇三）為其他間接排放，如員工通勤、商務旅行、運輸配送、廢棄物處理等。本題正確答案為Scope 2定義。選項A為Scope 1，選項C為Scope 3，需明確區分三個範疇之差異。
環保題,循環經濟的3R原則，不包括下列何者？,Reduce(減量),Remove(移除),Reuse(再使用),B,循環經濟的3R原則為：Reduce(減量)、Reuse(再使用)、Recycle(回收再利用)。因此，選項B「Remove(移除)」不包括在內。
環保題,依《廢棄物清理法》，事業產出之廢棄物，應由何者負起主要清理責任？,委託之清除處理機構,地方環保局,廢棄物產生者,C,廢棄物清理法第28條規定：「事業廢棄物之清理，除再利用方式外，應以下列方式為之：一、自行清除、處理。二、共同清除、處理。三、委託清除、處理。四、境外處理。」同法第31條明定「事業廢棄物之清理，事業應依本法規定負清理責任。」即採「產生者負責原則」(Generator Responsibility)，廢棄物產生者為清理責任主體，即使委託他人清理，法律責任仍由產生者承擔。選項B地方環保局為主管機關負監督查核責任，選項C委託清除處理機構雖實際執行，但最終法律責任仍歸屬產生者。
